INDEX,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB,SUBURB LIST
8326,KANDANGA,Street,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
8327,KANDRA,Close,,PALLARA,"P, PALLARA"
8328,KANE,Crescent,,MANSFIELD,"M, MANSFIELD"
8329,KANE,Street,,KEPERRA,"K, KEPERRA"
8330,KANGALOON,Street,,JINDALEE,"J, JINDALEE"
8331,KANGAROO GULLY,Road,,ANSTEAD,"A, ANSTEAD"
8332,KANGAROO GULLY,Road,,BELLBOWRIE,"B, BELLBOWRIE"
8333,KANGAROO GULLY,Road,,MOGGILL,"M, MOGGILL"
8334,KANGAROO,Court,,ROCHEDALE,"R, ROCHEDALE"
8335,KANKOOL,Street,,STAFFORD,"S, STAFFORD"
8336,KANNELLA,Grove,,KARANA DOWNS,"K, KARANA DOWNS"
8337,KANOFSKI,Street,,CHERMSIDE WEST,"C, CHERMSIDE WEST"
8338,KANOOKA,Street,,BELLBOWRIE,"B, BELLBOWRIE"
8339,KANSAS,Street,,BRIDGEMAN DOWNS,"B, BRIDGEMAN DOWNS"
8340,KANTURK,Street,,FERNY GROVE,"F, FERNY GROVE"
8341,KANUKA,Street,,ALGESTER,"A, ALGESTER"
8342,KANUMBRA,Street,,COORPAROO,"C, COORPAROO"
8343,KAPARA,Street,,KEPERRA,"K, KEPERRA"
8344,KAPARA,Street,,MITCHELTON,"M, MITCHELTON"
8345,KAPUNDA,Street,,TOOWONG,"T, TOOWONG"
8346,KAPUTAR,Close,,RIVERHILLS,"R, RIVERHILLS"
8347,KARA,Street,,TARRAGINDI,"T, TARRAGINDI"
8348,KARABIL,Street,,CHAPEL HILL,"C, CHAPEL HILL"
8349,KARAJINI,Crescent,,PARKINSON,"P, PARKINSON"
8350,KARAKUL,Road,,HAMILTON,"H, HAMILTON"
8351,KARALEE,Street,,SUNNYBANK,"S, SUNNYBANK"
8352,KARANA,Street,,SEVEN HILLS,"S, SEVEN HILLS"
8353,KARARA,Street,,THE GAP,"T, THE GAP"
8354,KARBALA,Street,,STAFFORD,"S, STAFFORD"
8355,KARDELLA,Street,,STRETTON,"S, STRETTON"
8356,KARDINA,Court,,KARANA DOWNS,"K, KARANA DOWNS"
8357,KARDINIA,Street,,SUNNYBANK,"S, SUNNYBANK"
